Year,Country,Area (Million Hectares)
2003,England,0.031
2004,England,0.031
2005,England,1.375
2006,England,3.921
2007,England,4.725
2008,England,5.024
2009,England,5.609
2010,England,5.584
2011,England,5.607
2012,England,6.090
2013,England,6.510
2014,England,6.390
2015,England,5.130
2016,England,3.660
2017,England,2.810
2018,England,2.170
2019,England,1.980
2020,England,1.788
2021,England,1.040
2022,England,1.367
