Feature,LR_coeff,LR_importance,DT_importance,Combined_score
agri_area_lower_5yr_avg,1.9365257632456538,0.6790504672640597,1.0,0.8395252336320298
agri_area_higher_5yr_avg,-2.8518141973276996,1.0,0.0,0.5
agri_area_higher_mha_lag2,1.4769609719037495,0.5179022438725986,0.0,0.2589511219362993
agri_area_higher_mha,-1.244302599835945,0.4363196596054267,0.028760661918689652,0.23254016076205816
agri_area_lower_mha,-0.6843223510437992,0.23996035635317525,0.13608092363331675,0.188020639993246
habitat_connectivity_index_lag3,-1.0519153405066215,0.36885830132002345,0.0,0.18442915066001173
agri_area_higher_mha_lag3,0.9609797924985087,0.3369713894400966,0.01680165248580174,0.17688652096294916
species_conn_pct_increased,-0.9083104374558086,0.3185026704428863,0.0,0.15925133522144316
species_conn_pct_decreased,0.8946333185134727,0.3137067342436935,0.0,0.15685336712184675
species_conn_pct_no_change,0.7063704250301392,0.2476916012593126,0.0,0.1238458006296563
plant_lowland_grassland_index,0.6365716646834926,0.2232163881083115,0.0,0.11160819405415574
habitat_connectivity_index,-0.28225818223804505,0.09897495513646572,0.11428704261684168,0.1066309988766537
agri_area_lower_mha_lag3,-0.5073883560451935,0.17791774671738544,0.01680165248574217,0.0973596996015638
plant_broadleaved_woodland_and_hedges_index,-0.4509216695440044,0.1581174783288974,0.0,0.0790587391644487
agri_area_lower_mha_lag2,-0.4278849427038748,0.15003955836422497,0.0,0.07501977918211249
habitat_connectivity_index_lag1,-0.4168433377007006,0.1461677756185185,0.0,0.07308388780925924
agri_area_higher_mha_lag1,0.3636533011079498,0.12751647756319895,0.0,0.06375823878159947
habitat_connectivity_index_lag2,0.20267172151754717,0.07106764588922422,0.0,0.03553382294461211
plant_lowland_grassland_ci_width,-0.1899239903665977,0.06659760321852894,0.0,0.03329880160926447
plant_broadleaved_woodland_and_hedges_ci_width,-0.18856022684385412,0.0661193941107892,0.0,0.0330596970553946
plant_arable_index,-0.03780842967800512,0.013257676363850638,0.0,0.006628838181925319
plant_arable_ci_width,-0.012870531929259079,0.004513103252420669,0.0,0.0022565516262103343
agri_area_lower_mha_lag1,-0.010247255872814122,0.0035932410612221307,0.0,0.0017966205306110654
